titulo,idioma,sinopsis,reseña,género,documento_crudo,documento
Avatar,Español,Exploramos en Avatar la historia de una serie de eventos misteriosos que mantienen el suspense hasta el final. Ideal para los amantes del cine con un mensaje potente.,"Tras verla, diría que es un poco lenta, pero con actuaciones brillantes. La recomendaría.","Acción, Aventura, Fantasía, Ciencia Ficción","Avatar. Español Exploramos en Avatar la historia de una serie de eventos misteriosos que mantienen el suspense hasta el final. Ideal para los amantes del cine con un mensaje potente. Tras verla, diría que es un poco lenta, pero con actuaciones brillantes. La recomendaría. Acción, Aventura, Fantasía, Ciencia Ficción",avat español explor avat histori seri event misteri mantien suspens final ideal amant cin mensaj potent tras verl dir lent actuacion brillant recomend accion aventur fantas cienci ficcion
Pirates of the Caribbean: At World's End,Inglés,Acompañamos a los personajes de Pirates of the Caribbean: At World's End en un conflicto inesperado que cambia el destino de todos. El cierre de la historia deja una huella imborrable en el espectador.,"Desde mi punto de vista, estamos ante impactante y llena de fuerza narrativa. La recomendaría.","Aventura, Fantasía, Acción","Pirates of the Caribbean: At World's End. Inglés Acompañamos a los personajes de Pirates of the Caribbean: At World's End en un conflicto inesperado que cambia el destino de todos. El cierre de la historia deja una huella imborrable en el espectador. Desde mi punto de vista, estamos ante impactante y llena de fuerza narrativa. La recomendaría. Aventura, Fantasía, Acción",pirat of the caribb at world s end ingles acompañ personaj pirat of the caribb at world s end conflict inesper cambi destin cierr histori dej huell imborr espect punt vist impact llen fuerz narrat recomend aventur fantas accion
Spectre,Español,Acompañamos a los personajes de Spectre en un descubrimiento asombroso que redefine lo que sabían hasta ahora. El desenlace resulta sorprendente y muy satisfactorio.,Una experiencia cinematográfica fascinante y muy bien estructurada. La recomendaría.,"Acción, Aventura, Crimen","Spectre. Español Acompañamos a los personajes de Spectre en un descubrimiento asombroso que redefine lo que sabían hasta ahora. El desenlace resulta sorprendente y muy satisfactorio. Una experiencia cinematográfica fascinante y muy bien estructurada. La recomendaría. Acción, Aventura, Crimen",spectr español acompañ personaj spectr descubr asombr redefin sab ahor desenlac result sorprendent satisfactori experient cinematograf fascin bien estructur recomend accion aventur crim
The Dark Knight Rises,Inglés,Acompañamos a los personajes de The Dark Knight Rises en un conflicto inesperado que cambia el destino de todos. Ideal para los amantes del cine con un mensaje potente.,Me pareció una película una joya oculta que merece más reconocimiento. La recomendaría.,"Acción, Crimen, Drama, Suspense","The Dark Knight Rises. Inglés Acompañamos a los personajes de The Dark Knight Rises en un conflicto inesperado que cambia el destino de todos. Ideal para los amantes del cine con un mensaje potente. Me pareció una película una joya oculta que merece más reconocimiento. La recomendaría. Acción, Crimen, Drama, Suspense",the dark knight ris ingles acompañ personaj the dark knight ris conflict inesper cambi destin ideal amant cin mensaj potent parec pelicul joy ocult merec reconoc recomend accion crim dram suspens
John Carter,Español,Acompañamos a los personajes de John Carter en una lucha épica contra fuerzas que amenazan con destruirlo todo. Una experiencia visual que no deja a nadie indiferente.,Una experiencia cinematográfica impactante y llena de fuerza narrativa. La recomendaría.,"Acción, Aventura, Ciencia Ficción","John Carter. Español Acompañamos a los personajes de John Carter en una lucha épica contra fuerzas que amenazan con destruirlo todo. Una experiencia visual que no deja a nadie indiferente. Una experiencia cinematográfica impactante y llena de fuerza narrativa. La recomendaría. Acción, Aventura, Ciencia Ficción",john cart español acompañ personaj john cart luch epic fuerz amenaz destru experient visual dej nadi indiferent experient cinematograf impact llen fuerz narrat recomend accion aventur cienci ficcion
Spider-Man 3,Inglés,Todo comienza en Spider-Man 3 cuando una relación compleja marcada por el pasado y los secretos ocultos. Una experiencia visual que no deja a nadie indiferente.,"Tras verla, diría que es una decepción comparada con las expectativas. La recomendaría.","Fantasía, Acción, Aventura","Spider-Man 3. Inglés Todo comienza en Spider-Man 3 cuando una relación compleja marcada por el pasado y los secretos ocultos. Una experiencia visual que no deja a nadie indiferente. Tras verla, diría que es una decepción comparada con las expectativas. La recomendaría. Fantasía, Acción, Aventura",spiderm 3 ingles comienz spiderm 3 relacion complej marc pas secret ocult experient visual dej nadi indiferent tras verl dir decepcion compar expect recomend fantas accion aventur
Tangled,Español,La trama de Tangled nos sumerge en una lucha épica contra fuerzas que amenazan con destruirlo todo. Una pieza fundamental para entender este género cinematográfico.,"Desde mi punto de vista, estamos ante fascinante y muy bien estructurada. La recomendaría.","Animación, Familia","Tangled. Español La trama de Tangled nos sumerge en una lucha épica contra fuerzas que amenazan con destruirlo todo. Una pieza fundamental para entender este género cinematográfico. Desde mi punto de vista, estamos ante fascinante y muy bien estructurada. La recomendaría. Animación, Familia",tangl español tram tangl sumerg luch epic fuerz amenaz destru piez fundamental entend gener cinematograf punt vist fascin bien estructur recomend anim famili
Avengers: Age of Ultron,Inglés,En la película Avengers: Age of Ultron descubrimos una lucha épica contra fuerzas que amenazan con destruirlo todo. Una experiencia visual que no deja a nadie indiferente.,"Tras verla, diría que es una obra maestra del cine actual. La recomendaría.","Acción, Aventura, Ciencia Ficción","Avengers: Age of Ultron. Inglés En la película Avengers: Age of Ultron descubrimos una lucha épica contra fuerzas que amenazan con destruirlo todo. Una experiencia visual que no deja a nadie indiferente. Tras verla, diría que es una obra maestra del cine actual. La recomendaría. Acción, Aventura, Ciencia Ficción",avengers age of ultron ingles pelicul avengers age of ultron descubr luch epic fuerz amenaz destru experient visual dej nadi indiferent tras verl dir obra maestr cin actual recomend accion aventur cienci ficcion
Harry Potter and the Half-Blood Prince,Español,El universo de Harry Potter and the Half-Blood Prince nos muestra un descubrimiento asombroso que redefine lo que sabían hasta ahora. El cierre de la historia deja una huella imborrable en el espectador.,"Una experiencia cinematográfica un poco lenta, pero con actuaciones brillantes. La recomendaría.","Aventura, Fantasía, Familia","Harry Potter and the Half-Blood Prince. Español El universo de Harry Potter and the Half-Blood Prince nos muestra un descubrimiento asombroso que redefine lo que sabían hasta ahora. El cierre de la historia deja una huella imborrable en el espectador. Una experiencia cinematográfica un poco lenta, pero con actuaciones brillantes. La recomendaría. Aventura, Fantasía, Familia",harry pott and the halfblood princ español univers harry pott and the halfblood princ muestr descubr asombr redefin sab ahor cierr histori dej huell imborr espect experient cinematograf lent actuacion brillant recomend aventur fantas famili
Batman v Superman: Dawn of Justice,Inglés,La narrativa de Batman v Superman: Dawn of Justice se centra en un viaje emocional que pone a prueba los límites de la realidad. Una pieza fundamental para entender este género cinematográfico.,"Considero que Batman v Superman: Dawn of Justice es visualmente increíble, aunque el guion flojea. La recomendaría.","Acción, Aventura, Fantasía","Batman v Superman: Dawn of Justice. Inglés La narrativa de Batman v Superman: Dawn of Justice se centra en un viaje emocional que pone a prueba los límites de la realidad. Una pieza fundamental para entender este género cinematográfico. Considero que Batman v Superman: Dawn of Justice es visualmente increíble, aunque el guion flojea. La recomendaría. Acción, Aventura, Fantasía",batm v superm dawn of justic ingles narrat batm v superm dawn of justic centr viaj emocional pon prueb limit realid piez fundamental entend gener cinematograf consider batm v superm dawn of justic visual increibl aunqu guion floje recomend accion aventur fantas
